Building,Building_Abbreviation,Room_Type,Gender,Available_Bed_Spaces,Last_Updated,Percent_Left
Landfair Apartments,LF,2 Bd/4 Person,Male,0,2025-02-24 15:00:00,0.0
Levering Terrace Apartments,LT,1 Bd/3 Person,Female,0,2025-02-24 15:00:00,0.0
Levering Terrace Apartments,LT,1 Bd/3 Person,Male,0,2025-02-24 15:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Female,0,2025-02-24 15:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Male,0,2025-02-24 15:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Female,0,2025-02-24 15:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Male,0,2025-02-24 15:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/8 Person,Female,0,2025-02-24 15:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/8 Person,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/8 Person,Male,7,2025-02-24 15:00:00,10.9
Landfair Vista Apartments,LV,2 Bd+Loft/5 Person-Double,Female,0,2025-02-24 15:00:00,0.0
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Female,0,2025-02-24 15:00:00,0.0
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Male,0,2025-02-24 15:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/4 Person,Female,0,2025-02-24 15:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/4 Person,Male,0,2025-02-24 15:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Female,0,2025-02-24 15:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Male,0,2025-02-24 15:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Female,0,2025-02-24 15:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Male,0,2025-02-24 15:00:00,0.0
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Double,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Triple,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Landfair Vista Apartments,LV,3 Bd/6 Person,Female,0,2025-02-24 15:00:00,0.0
Landfair Vista Apartments,LV,3 Bd/6 Person,Male,0,2025-02-24 15:00:00,0.0
Palo Verde,PV,2 Bd/4 Person,Female,0,2025-02-24 15:00:00,0.0
Palo Verde,PV,2 Bd/4 Person,Male,0,2025-02-24 15:00:00,0.0
Palo Verde,PV,4 Bd/10 Person-Double,Female,0,2025-02-24 15:00:00,0.0
Palo Verde,PV,4 Bd/10 Person-Double,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Palo Verde,PV,4 Bd/10 Person-Double,Male,0,2025-02-24 15:00:00,0.0
Palo Verde,PV,4 Bd/10 Person-Triple,Female,40,2025-02-24 15:00:00,27.8
Palo Verde,PV,4 Bd/10 Person-Triple,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Palo Verde,PV,4 Bd/10 Person-Triple,Male,41,2025-02-24 15:00:00,48.8
Tipuana,TN,2 Bd/4 Person,Female,0,2025-02-24 15:00:00,0.0
Tipuana,TN,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Tipuana,TN,2 Bd/4 Person,Male,0,2025-02-24 15:00:00,0.0
Tipuana,TN,4 Bd/10 Person-Double,Female,0,2025-02-24 15:00:00,0.0
Tipuana,TN,4 Bd/10 Person-Double,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Tipuana,TN,4 Bd/10 Person-Double,Male,0,2025-02-24 15:00:00,0.0
Tipuana,TN,4 Bd/10 Person-Triple,Female,42,2025-02-24 15:00:00,14.3
Tipuana,TN,4 Bd/10 Person-Triple,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Tipuana,TN,4 Bd/10 Person-Triple,Male,113,2025-02-24 15:00:00,62.8
Westwood Chateau Apartments,WC,1 Bd/3 Person,Female,0,2025-02-24 15:00:00,0.0
Westwood Chateau Apartments,WC,1 Bd/3 Person,Male,0,2025-02-24 15:00:00,0.0
Westwood Chateau Apartments,WC,1 Bd/3 Person,Non-Binary,0,2025-02-24 15:00:00,0.0
Westwood Chateau Apartments,WC,2 Bd/4 Person,Female,0,2025-02-24 15:00:00,0.0
Westwood Chateau Apartments,WC,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Westwood Chateau Apartments,WC,2 Bd/4 Person,Male,0,2025-02-24 15:00:00,0.0
Westwood Palms Apartments,WP,1 Bd/3 Person,Female,0,2025-02-24 15:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Female,0,2025-02-24 15:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Male,0,2025-02-24 15:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/4 Person,Female,0,2025-02-24 15:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/4 Person,Male,0,2025-02-24 15:00:00,0.0
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,224,2025-02-24 16:00:00,29.9
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,6,2025-02-24 16:00:00,18.2
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,32,2025-02-24 16:00:00,6.9
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2025-02-24 16:00:00,0.0
De Neve Residence Hall,DN,Deluxe Triple,Female,15,2025-02-24 16:00:00,5.5
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,3,2025-02-24 16:00:00,9.1
De Neve Residence Hall,DN,Deluxe Triple,Male,2,2025-02-24 16:00:00,1.6
Dykstra Hall,DYK,Classic Triple,Female,325,2025-02-24 16:00:00,69.4
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,26,2025-02-24 16:00:00,72.2
Dykstra Hall,DYK,Classic Triple,Male,197,2025-02-24 16:00:00,75.5
Hedrick Hall,HED,Classic Triple,Female,542,2025-02-24 16:00:00,92.2
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2025-02-24 16:00:00,100.0
Hedrick Hall,HED,Classic Triple,Male,361,2025-02-24 16:00:00,98.6
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,117,2025-02-24 16:00:00,44.3
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,1,2025-02-24 16:00:00,5.6
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,0,2025-02-24 16:00:00,0.0
Olympic / Centennial,OC,Deluxe Triple,Female,22,2025-02-24 16:00:00,2.2
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,12,2025-02-24 16:00:00,14.8
Olympic / Centennial,OC,Deluxe Triple,Male,0,2025-02-24 16:00:00,0.0
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,2025-02-24 16:00:00,0.0
Rieber Hall,RIE,Classic Triple,Female,475,2025-02-24 16:00:00,83.8
Rieber Hall,RIE,Classic Triple,Gender Inclusive,45,2025-02-24 16:00:00,93.8
Rieber Hall,RIE,Classic Triple,Male,344,2025-02-24 16:00:00,90.3
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2025-02-24 16:00:00,0.0
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2025-02-24 16:00:00,0.0
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2025-02-24 16:00:00,0.0
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,69,2025-02-24 16:00:00,15.8
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,25,2025-02-24 16:00:00,69.4
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,34,2025-02-24 16:00:00,12.6
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2025-02-24 16:00:00,0.0
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2025-02-24 16:00:00,0.0
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,139,2025-02-24 16:00:00,34.1
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,22,2025-02-24 16:00:00,73.3
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,114,2025-02-24 16:00:00,45.2
Rieber Vista,RV,Plaza Triple/Shared Bath,Non-Binary,3,2025-02-24 16:00:00,75.0
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,18,2025-02-24 16:00:00,7.0
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,0,2025-02-24 16:00:00,0.0
Sproul Landing / Cove,SLC,Deluxe Triple,Female,18,2025-02-24 16:00:00,3.0
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,5,2025-02-24 16:00:00,11.1
Sproul Landing / Cove,SLC,Deluxe Triple,Male,0,2025-02-24 16:00:00,0.0
Sproul Landing / Cove,SLC,Deluxe Triple,Non-Binary,0,2025-02-24 16:00:00,0.0
Sproul Landing / Cove,SLC,Deluxe Triple,Other,0,2025-02-24 16:00:00,0.0
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,370,2025-02-24 16:00:00,89.4
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2025-02-24 16:00:00,100.0
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,238,2025-02-24 16:00:00,94.4
Sproul Hall,SPR,Classic Triple,Female,255,2025-02-24 16:00:00,44.0
Sproul Hall,SPR,Classic Triple,Gender Inclusive,37,2025-02-24 16:00:00,72.5
Sproul Hall,SPR,Classic Triple,Male,170,2025-02-24 16:00:00,46.1
Sproul Hall,SPR,Classic Triple,Non-Binary,0,2025-02-24 16:00:00,0.0
Sunset Village,SV,Plaza Triple/Private Bath,Female,131,2025-02-24 16:00:00,25.8
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,10,2025-02-24 16:00:00,25.6
Sunset Village,SV,Plaza Triple/Private Bath,Male,20,2025-02-24 16:00:00,6.5
Sunset Village,SV,Plaza Triple/Private Bath,Non-Binary,2,2025-02-24 16:00:00,40.0
Sunset Village,SV,Plaza Triple/Shared Bath,Female,153,2025-02-24 16:00:00,33.6
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,12,2025-02-24 16:00:00,33.3
Sunset Village,SV,Plaza Triple/Shared Bath,Male,123,2025-02-24 16:00:00,43.6
Sunset Village,SV,Plaza Triple/Shared Bath,Non-Binary,5,2025-02-24 16:00:00,100.0
Gayley Court Apartments,GC,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Gayley Court Apartments,GC,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
Gayley Court Apartments,GC,2 Bd/4 Person,Non-Binary,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,1 Bd/3 Person,Female,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,1 Bd/3 Person,Male,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,2 Bd/5 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,2 Bd/5 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,2 Bd/5 Person-Triple,Female,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,2 Bd/5 Person-Triple,Male,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,2 Bd/6 Person,Female,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,2 Bd/6 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,2 Bd/6 Person,Male,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Quad,Female,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Quad,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Quad,Male,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Triple,Female,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Triple,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Triple,Male,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Triple,Female,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Triple,Male,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Double,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Triple,Female,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Triple,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Triple,Male,0,2025-02-24 16:00:00,0.0
Glenrock Apartments,GR,2 Bd/3 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Glenrock Apartments,GR,2 Bd/3 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Glenrock Apartments,GR,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Glenrock Apartments,GR,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Glenrock Apartments,GR,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
Glenrock West Apartments,GW,1 Bd/3 Person,Female,0,2025-02-24 16:00:00,0.0
Glenrock West Apartments,GW,1 Bd/3 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Glenrock West Apartments,GW,1 Bd/3 Person,Male,0,2025-02-24 16:00:00,0.0
Glenrock West Apartments,GW,1 Bd/3 Person,Non-Binary,1,2025-02-24 16:00:00,33.3
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Glenrock West Apartments,GW,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Glenrock West Apartments,GW,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Glenrock West Apartments,GW,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
Laurel,LA,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Laurel,LA,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Laurel,LA,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
Laurel,LA,2 Bd/4 Person,Non-Binary,0,2025-02-24 16:00:00,0.0
Laurel,LA,4 Bd/10 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Laurel,LA,4 Bd/10 Person-Double,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Laurel,LA,4 Bd/10 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Laurel,LA,4 Bd/10 Person-Double,Non-Binary,0,2025-02-24 16:00:00,0.0
Laurel,LA,4 Bd/10 Person-Triple,Female,40,2025-02-24 16:00:00,15.5
Laurel,LA,4 Bd/10 Person-Triple,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Laurel,LA,4 Bd/10 Person-Triple,Male,78,2025-02-24 16:00:00,52.0
Laurel,LA,4 Bd/10 Person-Triple,Non-Binary,4,2025-02-24 16:00:00,66.7
Landfair Apartments,LF,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Landfair Apartments,LF,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Landfair Apartments,LF,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,1 Bd/3 Person,Female,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,1 Bd/3 Person,Male,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Female,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Male,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Female,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Male,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/8 Person,Female,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/8 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/8 Person,Male,7,2025-02-24 16:00:00,10.9
Landfair Vista Apartments,LV,2 Bd+Loft/5 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Female,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Male,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Female,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Male,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Double,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Triple,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,3 Bd/6 Person,Female,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,3 Bd/6 Person,Male,0,2025-02-24 16:00:00,0.0
Palo Verde,PV,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Palo Verde,PV,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
Palo Verde,PV,4 Bd/10 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Palo Verde,PV,4 Bd/10 Person-Double,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Palo Verde,PV,4 Bd/10 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Palo Verde,PV,4 Bd/10 Person-Triple,Female,39,2025-02-24 16:00:00,27.1
Palo Verde,PV,4 Bd/10 Person-Triple,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Palo Verde,PV,4 Bd/10 Person-Triple,Male,41,2025-02-24 16:00:00,48.8
Tipuana,TN,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Tipuana,TN,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Tipuana,TN,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
Tipuana,TN,4 Bd/10 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Tipuana,TN,4 Bd/10 Person-Double,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Tipuana,TN,4 Bd/10 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Tipuana,TN,4 Bd/10 Person-Triple,Female,42,2025-02-24 16:00:00,14.3
Tipuana,TN,4 Bd/10 Person-Triple,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Tipuana,TN,4 Bd/10 Person-Triple,Male,113,2025-02-24 16:00:00,62.8
Westwood Chateau Apartments,WC,1 Bd/3 Person,Female,0,2025-02-24 16:00:00,0.0
Westwood Chateau Apartments,WC,1 Bd/3 Person,Male,0,2025-02-24 16:00:00,0.0
Westwood Chateau Apartments,WC,1 Bd/3 Person,Non-Binary,0,2025-02-24 16:00:00,0.0
Westwood Chateau Apartments,WC,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Westwood Chateau Apartments,WC,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Westwood Chateau Apartments,WC,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
Westwood Palms Apartments,WP,1 Bd/3 Person,Female,0,2025-02-24 16:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,211,2025-03-04 15:01:00,28.1
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,6,2025-03-04 15:01:00,18.2
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,20,2025-03-04 15:01:00,4.3
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2025-03-04 15:01:00,0.0
De Neve Residence Hall,DN,Deluxe Triple,Female,13,2025-03-04 15:01:00,4.8
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,7,2025-03-04 15:01:00,21.2
De Neve Residence Hall,DN,Deluxe Triple,Male,2,2025-03-04 15:01:00,1.6
Dykstra Hall,DYK,Classic Triple,Female,321,2025-03-04 15:01:00,68.6
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,31,2025-03-04 15:01:00,86.1
Dykstra Hall,DYK,Classic Triple,Male,191,2025-03-04 15:01:00,73.2
Hedrick Hall,HED,Classic Triple,Female,551,2025-03-04 15:01:00,93.7
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2025-03-04 15:01:00,100.0
Hedrick Hall,HED,Classic Triple,Male,357,2025-03-04 15:01:00,97.5
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,113,2025-03-04 15:01:00,42.8
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,2,2025-03-04 15:01:00,11.1
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,0,2025-03-04 15:01:00,0.0
Olympic / Centennial,OC,Deluxe Triple,Female,13,2025-03-04 15:01:00,1.3
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,11,2025-03-04 15:01:00,13.6
Olympic / Centennial,OC,Deluxe Triple,Male,3,2025-03-04 15:01:00,0.5
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,2025-03-04 15:01:00,0.0
Rieber Hall,RIE,Classic Triple,Female,467,2025-03-04 15:01:00,82.4
Rieber Hall,RIE,Classic Triple,Gender Inclusive,45,2025-03-04 15:01:00,93.8
Rieber Hall,RIE,Classic Triple,Male,343,2025-03-04 15:01:00,90.0
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2025-03-04 15:01:00,0.0
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2025-03-04 15:01:00,0.0
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2025-03-04 15:01:00,0.0
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,57,2025-03-04 15:01:00,13.0
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,27,2025-03-04 15:01:00,75.0
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,36,2025-03-04 15:01:00,13.3
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2025-03-04 15:01:00,0.0
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2025-03-04 15:01:00,0.0
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,136,2025-03-04 15:01:00,33.3
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,20,2025-03-04 15:01:00,66.7
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,97,2025-03-04 15:01:00,38.5
Rieber Vista,RV,Plaza Triple/Shared Bath,Non-Binary,2,2025-03-04 15:01:00,50.0
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,19,2025-03-04 15:01:00,7.4
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,2025-03-04 15:01:00,0.0
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,0,2025-03-04 15:01:00,0.0
Sproul Landing / Cove,SLC,Deluxe Triple,Female,8,2025-03-04 15:01:00,1.3
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,4,2025-03-04 15:01:00,8.9
Sproul Landing / Cove,SLC,Deluxe Triple,Male,1,2025-03-04 15:01:00,0.3
Sproul Landing / Cove,SLC,Deluxe Triple,Non-Binary,0,2025-03-04 15:01:00,0.0
Sproul Landing / Cove,SLC,Deluxe Triple,Other,0,2025-03-04 15:01:00,0.0
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,371,2025-03-04 15:01:00,89.6
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2025-03-04 15:01:00,100.0
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,231,2025-03-04 15:01:00,91.7
Sproul Hall,SPR,Classic Triple,Female,251,2025-03-04 15:01:00,43.4
Sproul Hall,SPR,Classic Triple,Gender Inclusive,27,2025-03-04 15:01:00,52.9
Sproul Hall,SPR,Classic Triple,Male,152,2025-03-04 15:01:00,41.2
Sproul Hall,SPR,Classic Triple,Non-Binary,2,2025-03-04 15:01:00,100.0
Sunset Village,SV,Plaza Triple/Private Bath,Female,124,2025-03-04 15:01:00,24.5
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,10,2025-03-04 15:01:00,25.6
Sunset Village,SV,Plaza Triple/Private Bath,Male,16,2025-03-04 15:01:00,5.2
Sunset Village,SV,Plaza Triple/Private Bath,Non-Binary,4,2025-03-04 15:01:00,80.0
Sunset Village,SV,Plaza Triple/Shared Bath,Female,146,2025-03-04 15:01:00,32.0
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,9,2025-03-04 15:01:00,25.0
Sunset Village,SV,Plaza Triple/Shared Bath,Male,103,2025-03-04 15:01:00,36.5
Sunset Village,SV,Plaza Triple/Shared Bath,Non-Binary,1,2025-03-04 15:01:00,20.0
Gayley Court Apartments,GC,2 Bd/4 Person,Female,0,2025-03-04 15:01:00,0.0
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,0,2025-03-04 15:01:00,0.0
Gayley Court Apartments,GC,2 Bd/4 Person,Male,0,2025-03-04 15:01:00,0.0
Gayley Court Apartments,GC,2 Bd/4 Person,Non-Binary,0,2025-03-04 15:01:00,0.0
